ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=4, cond_id_raw=4, tag=s4_ablation_ccs_off, subject=uccs_d4b_scan70
# meta, ablation=ccs_off policy=U_only actions{100,500} u_mid=0.20 u_high=0.35 hyst=0.02 ema_alpha=0.20
56110,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
56120,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56130,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56140,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56150,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56160,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56170,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56180,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
56190,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
56200,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56210,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56220,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56230,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
56240,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
56250,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
56260,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
56270,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
56280,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56290,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56300,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56310,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
56320,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56330,4828,56700,273.7,TXSD_UCCS_D4B_SCAN70_v1
56340,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
56350,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56360,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56370,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56380,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56390,4852,60800,295.0,TXSD_UCCS_D4B_SCAN70_v1
56400,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
56410,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
56420,4924,56300,277.2,TXSD_UCCS_D4B_SCAN70_v1
56430,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
56440,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
56450,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
56460,4924,56400,277.7,TXSD_UCCS_D4B_SCAN70_v1
56470,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
56480,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56490,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56500,4752,141800,673.8,TXSD_UCCS_D4B_SCAN70_v1
56511,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56520,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
