ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=3, tag=s4_policy, subject=uccs_d3_scan70
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard=true
170971,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170981,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170991,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
171001,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
171011,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
171021,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
171031,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
171041,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
171051,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
171061,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
171071,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
171081,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
171091,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
171101,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
171111,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
171121,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
171131,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
171141,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
171151,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
171161,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
171171,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
171181,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
171191,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
171201,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
171211,4756,217700,1035.4,TXSD_UCCS_D3_SCAN70_v1
171221,4916,56000,275.3,TXSD_UCCS_D3_SCAN70_v1
171232,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
171241,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
171251,4916,56200,276.3,TXSD_UCCS_D3_SCAN70_v1
171261,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
171271,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
171281,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
171291,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
171301,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
